database,subject_id,New_Key,Lake,County,Township,Range,Section,lat,long,URL 4 (front),URL 8 (back),day,month,month.cat,year,doy
Cards,84932003,47-120,Island1N,Livingston,1N,6E,4,42.50999,-83.74093,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Island1N_6E_S4_MORT_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Island1N_6E_S4_MORT_043.jpg,9,4,04.April,1963,99
Cards,84931713,26-32,Trout,Gladwin,20N,2W,9,44.1361,-84.5651,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Trout_MORT_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Trout_MORT_047.jpg,7,4,04.April,1963,97
Cards,84932034,13-459,LONG,CALHOUN,3S,6W,23,42.19332,-84.9737,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_LONG_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_LONG_MORT_0001_2.jpeg,18,5,05.May,1963,138
Cards,84931840,75-748,LittleBoot,Schoolcraft,45N,17W,29,46.26304,-86.4501,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_LittleBoot_MORT_7.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_LittleBoot_MORT_8.jpeg,16,6,06.June,1963,167
Cards,84931929,63-7,ANGELACOE,OAKLAND,1N,7E,16,42.4861,-83.61593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_ANGELA_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_ANGELA_MORT_0001_2.jpeg,5,6,06.June,1963,156
Cards,84931736,33-128,Lansing,Ingham,4N,1W,"2, 3, 11",42.75804,-84.39898,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Ingham_Lansing_MORT_048.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Ingham_Lansing_MORT_049.jpg,9,6,06.June,1963,160
Cards,84931751,38-352,Ackerson,Jackson,3S,1E,22,42.18666,-84.34926,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Jackson_Ackerson_MORT_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Jackson_Ackerson_MORT_007.jpg,3,6,06.June,1963,154
Cards,84931998,47-23,Sharps,Livingston,1N,3E,29,42.43943,-84.1212,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Sharps_MORT_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Sharps_MORT_004.jpg,3,6,06.June,1963,154
Cards,84931694,1-138,Crooked,Alcona,27N,5E,"8, 17, 18",44.73555,-83.86954,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Alcona_Crooked_20200115135524467_MORT_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Alcona_Crooked_20200115135524467_MORT_0002.jpg,9,6,06.June,1963,160
Cards,84932107,1-138,CROOKED,ALCONA,27N,5E,"8, 17, 18",44.73555,-83.86954,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALCONA_CROOKED_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALCONA_CROOKED_MORT_0001_2.jpeg,9,6,06.June,1963,160
